time,open,high,low,close,volume
2025-07-07 17:00:00,107956.2,108346.9,107497.6,107875.1,44872
2025-07-07 21:00:00,107876.5,108524.8,107785.7,108289.4,43258
2025-07-08 01:00:00,108284.2,108284.2,107435.8,108020.8,35648
2025-07-08 05:00:00,108020.8,108523.9,107970.1,108258.6,22830
2025-07-08 09:00:00,108260.3,108994.9,108214.0,108937.1,23834
2025-07-08 13:00:00,108945.9,109227.4,108080.6,108439.3,49960
2025-07-08 17:00:00,108450.1,109170.6,108429.5,108645.5,40800
2025-07-08 21:00:00,108645.4,108992.9,108610.8,108944.1,34020
2025-07-09 01:00:00,108941.2,109140.1,108310.3,108551.8,38378
2025-07-09 05:00:00,108550.8,108930.8,108484.1,108656.0,27638
2025-07-09 09:00:00,108656.7,109530.5,108539.1,109317.5,32886
2025-07-09 13:00:00,109316.9,109762.7,108502.8,109413.8,48276
2025-07-09 17:00:00,109413.3,112033.8,109031.1,110742.2,49940
2025-07-09 21:00:00,110741.9,111570.3,110708.1,110935.9,34828
2025-07-10 01:00:00,110936.8,111600.0,110905.0,111180.3,16944
2025-07-10 05:00:00,111190.6,111474.6,110966.4,111258.2,14300
2025-07-10 09:00:00,111258.7,111291.8,110787.4,110879.7,17432
2025-07-10 13:00:00,110878.7,112787.7,110564.7,112694.8,55948
2025-07-10 17:00:00,112694.2,113849.9,112622.3,113589.7,53137
2025-07-10 21:00:00,113588.2,116825.8,113474.2,115574.9,82269
2025-07-11 01:00:00,115573.8,116953.6,115493.5,116894.8,46960
2025-07-11 05:00:00,116900.0,118419.6,116897.5,118007.0,53900
2025-07-11 09:00:00,118007.5,118852.3,117605.6,117883.2,40933
2025-07-11 13:00:00,117885.9,118191.9,116621.0,117425.0,63956
2025-07-11 17:00:00,117423.6,118194.4,117267.8,117714.4,40545
2025-07-11 21:00:00,117717.6,117936.0,117111.3,117440.2,25101
2025-07-12 01:00:00,117438.7,117924.4,117434.7,117694.2,17888
2025-07-12 05:00:00,117694.7,118100.1,117545.3,117955.4,14633
2025-07-12 09:00:00,117964.6,118223.9,117335.5,117570.7,19742
2025-07-12 13:00:00,117568.5,117757.0,116894.1,117218.8,29641
2025-07-12 17:00:00,117220.3,117666.7,117049.8,117051.1,21559
2025-07-12 21:00:00,117050.6,117591.2,117021.3,117335.4,16764
2025-07-13 01:00:00,117339.3,117922.2,117238.5,117906.4,16271
2025-07-13 05:00:00,117905.4,118097.8,117715.3,117920.1,12420
2025-07-13 09:00:00,117922.1,118647.1,117715.1,118453.7,18709
2025-07-13 13:00:00,118454.7,119390.1,118177.6,118548.9,43355
2025-07-13 17:00:00,118546.3,119479.3,118406.3,119102.7,32989
2025-07-13 21:00:00,119099.2,119483.0,118285.4,119103.4,33628
2025-07-14 01:00:00,119113.2,121437.4,118936.4,121403.6,58408
2025-07-14 05:00:00,121403.5,123207.5,121143.8,122558.9,62685
2025-07-14 09:00:00,122571.8,122590.0,121339.4,121906.3,50230
2025-07-14 13:00:00,121893.4,122128.2,119182.0,120266.2,81721
2025-07-14 17:00:00,120265.9,120513.1,119523.6,120188.9,52630
2025-07-14 21:00:00,120187.4,120314.0,119167.8,119503.9,41823
2025-07-15 01:00:00,119504.1,119540.3,116267.8,117472.2,114682
2025-07-15 05:00:00,117473.7,117760.1,116321.9,116734.8,67025
2025-07-15 09:00:00,116735.8,117417.8,116310.8,117166.1,60214
2025-07-15 13:00:00,117163.3,118450.8,115693.9,117149.5,104670
2025-07-15 17:00:00,117150.2,117495.3,115986.4,116393.3,71007
2025-07-15 21:00:00,116394.3,118181.3,116330.1,118112.3,50378
2025-07-16 01:00:00,118113.1,118199.7,117024.8,117608.0,43114
2025-07-16 05:00:00,117611.6,118777.7,117611.6,118701.5,39238
2025-07-16 09:00:00,118704.4,119293.7,118612.2,118636.2,46204
2025-07-16 13:00:00,118635.3,119849.9,118182.5,119340.0,77988
2025-07-16 17:00:00,119333.1,119983.5,118894.6,119949.9,55080
2025-07-16 21:00:00,119955.1,120081.2,118461.7,118934.3,48586
2025-07-17 01:00:00,118933.3,119130.5,117708.0,118535.9,46148
2025-07-17 05:00:00,118526.3,118809.0,117888.4,118353.9,38274
2025-07-17 09:00:00,118353.5,119223.6,117480.4,117890.8,46624
2025-07-17 13:00:00,117890.7,119136.2,117540.9,118595.3,65726
2025-07-17 17:00:00,118591.1,119908.9,118452.3,119475.4,52853
2025-07-17 21:00:00,119474.9,120981.0,119105.4,119819.6,62778
2025-07-18 01:00:00,119828.7,120844.0,119723.2,120489.4,58502
2025-07-18 05:00:00,120491.4,120892.5,118430.3,118678.7,54548
2025-07-18 09:00:00,118676.5,119558.2,118487.6,119492.5,44816
2025-07-18 13:00:00,119490.9,119490.9,117359.9,117589.0,74220
2025-07-18 17:00:00,117592.5,118030.8,116887.2,117466.1,60160
2025-07-18 21:00:00,117467.4,118100.6,117420.3,117809.4,37798
2025-07-19 01:00:00,117813.3,118444.5,117685.4,118218.2,30160
2025-07-19 05:00:00,118231.0,118402.0,118014.4,118162.4,22922
2025-07-19 09:00:00,118165.2,118541.3,118117.8,118272.3,24452
2025-07-19 13:00:00,118271.7,118367.9,117684.4,118014.6,32675
2025-07-19 17:00:00,118019.0,118188.8,117652.1,117767.7,32124
2025-07-19 21:00:00,117767.2,118043.2,117327.7,117981.7,29823
2025-07-20 01:00:00,117982.0,118195.8,117773.0,118001.8,33403
2025-07-20 05:00:00,118004.0,118307.4,117808.1,118207.1,22667
2025-07-20 09:00:00,118210.4,118325.1,117749.8,118115.0,25537
2025-07-20 13:00:00,118109.7,118889.5,118061.8,118598.5,34823
2025-07-20 17:00:00,118587.9,118590.6,117892.5,118115.4,31554
2025-07-20 21:00:00,118115.9,118196.6,116531.6,117400.2,49929
2025-07-21 01:00:00,117400.4,118666.3,116832.2,118380.9,44148
2025-07-21 05:00:00,118377.4,119660.7,118199.4,119027.7,37556
2025-07-21 09:00:00,119034.1,119121.0,117795.8,118198.2,34764
2025-07-21 13:00:00,118197.4,119282.0,117527.4,117778.1,57640
2025-07-21 17:00:00,117774.2,118242.7,116674.1,116981.8,51108
2025-07-21 21:00:00,116969.3,117691.9,116904.0,117151.6,36456
2025-07-22 01:00:00,117147.1,117988.7,116167.4,116607.3,53963
2025-07-22 05:00:00,116604.2,118618.0,116586.9,118316.6,41189
2025-07-22 09:00:00,118315.6,119468.3,117908.1,119332.4,36496
2025-07-22 13:00:00,119331.5,119634.2,117590.3,118708.3,61213
2025-07-22 17:00:00,118702.5,120240.9,118420.9,119760.4,54807
2025-07-22 21:00:00,119760.4,120279.9,119419.0,119593.6,37070
2025-07-23 01:00:00,119605.3,119729.5,118546.5,119019.3,36952
2025-07-23 05:00:00,119020.5,119032.4,118263.2,118446.5,30702
2025-07-23 09:00:00,118441.7,118701.5,117860.8,118026.0,40078
2025-07-23 13:00:00,118015.8,118763.4,117339.8,117755.3,59700
2025-07-23 17:00:00,117756.3,118540.9,117374.2,117958.8,53712
2025-07-23 21:00:00,117965.8,119166.8,117419.4,119082.0,44533
2025-07-24 01:00:00,119081.5,119306.7,117878.5,117992.3,41255
2025-07-24 05:00:00,117992.8,118838.5,117182.1,118820.4,51367
2025-07-24 09:00:00,118822.4,118862.2,118001.0,118568.1,43586
2025-07-24 13:00:00,118562.9,119522.2,117871.7,118573.7,56648
2025-07-24 17:00:00,118574.8,119466.7,118525.0,118759.9,44972
2025-07-24 21:00:00,118758.9,118834.5,117669.4,117718.9,42364
2025-07-25 01:00:00,117719.4,117816.2,115077.4,116118.3,69207
2025-07-25 05:00:00,116116.3,116116.8,114733.4,115132.6,68636
2025-07-25 09:00:00,115172.8,116809.2,114955.9,116088.3,75014
2025-07-25 13:00:00,116089.8,116623.4,114892.9,116186.4,105227
2025-07-25 17:00:00,116180.4,117322.6,115857.7,117082.2,77994
2025-07-25 21:00:00,117077.4,117655.0,116929.5,117514.9,32443
2025-07-26 01:00:00,117521.8,117771.5,117144.4,117532.2,18577
2025-07-26 05:00:00,117533.0,117640.9,117302.1,117597.5,16124
2025-07-26 09:00:00,117599.0,118227.1,117477.8,117950.9,17796
2025-07-26 13:00:00,117951.7,118266.5,117868.3,118098.8,17718
2025-07-26 17:00:00,118097.5,118326.9,117911.2,117979.1,16319
2025-07-26 21:00:00,117975.4,118298.1,117853.9,117982.8,14725
2025-07-27 01:00:00,117982.9,118405.4,117940.7,118245.1,17384
2025-07-27 05:00:00,118244.6,118486.6,117963.6,117980.7,14801
2025-07-27 09:00:00,117979.7,118333.2,117854.4,118149.4,22254
2025-07-27 13:00:00,118144.7,119558.9,118098.6,119098.3,27442
2025-07-27 17:00:00,119102.1,119409.6,118739.8,118779.7,22144
2025-07-27 21:00:00,118780.2,119778.9,118740.0,119246.7,36133
2025-07-28 01:00:00,119247.9,119819.0,118962.8,119210.6,31918
2025-07-28 05:00:00,119213.4,119692.5,118752.0,119062.1,27486
2025-07-28 09:00:00,119062.6,119089.5,118465.1,118843.3,31502
2025-07-28 13:00:00,118845.2,119085.6,117877.4,117994.3,55072
2025-07-28 17:00:00,117979.3,118226.2,117384.5,118016.4,38762
2025-07-28 21:00:00,118017.6,118440.3,117536.7,117967.0,41472
2025-07-29 01:00:00,117963.9,118788.0,117444.1,118512.5,37574
2025-07-29 05:00:00,118513.6,119250.2,118506.3,118901.6,36574
2025-07-29 09:00:00,118902.8,119057.6,118144.7,118875.6,38330
2025-07-29 13:00:00,118885.3,119024.5,116915.6,117693.6,59379
2025-07-29 17:00:00,117694.5,118019.4,117048.8,117443.9,50871
2025-07-29 21:00:00,117446.7,117957.7,117139.2,117718.8,34894
2025-07-30 01:00:00,117718.2,118238.8,117396.1,117982.0,32930
2025-07-30 05:00:00,117981.8,118461.8,117655.7,118352.6,30614
2025-07-30 09:00:00,118357.8,118402.6,117337.1,117714.5,44084
2025-07-30 13:00:00,117715.6,118779.9,117393.9,117726.0,57422
2025-07-30 17:00:00,117732.0,118019.3,115754.1,117124.4,67621
2025-07-30 21:00:00,117128.9,118507.0,116917.6,118388.9,39458
2025-07-31 01:00:00,118394.6,118584.5,117958.2,118490.9,29014
2025-07-31 05:00:00,118491.1,118899.0,118255.7,118565.6,18592
2025-07-31 09:00:00,118564.9,118690.5,118246.3,118585.4,22134
2025-07-31 13:00:00,118592.2,118865.8,117782.4,118496.8,54292
2025-07-31 17:00:00,118495.8,118524.3,116405.6,116466.7,54332
2025-07-31 21:00:00,116463.7,116872.0,114300.0,115391.7,55490
2025-08-01 01:00:00,115394.7,116041.5,114581.8,115669.4,52024
2025-08-01 05:00:00,115669.9,115898.1,114089.1,114552.0,67801
2025-08-01 09:00:00,114553.3,115846.6,114510.3,115686.7,52001
2025-08-01 13:00:00,115688.6,115963.3,113894.1,114945.9,78690
2025-08-01 17:00:00,114945.5,115033.3,113067.7,113872.5,80869
2025-08-01 21:00:00,113878.4,114031.8,112649.7,113764.8,37820
2025-08-02 01:00:00,113765.5,113996.0,113368.8,113927.6,16792
2025-08-02 05:00:00,113949.5,113993.0,113408.4,113638.6,16633
2025-08-02 09:00:00,113643.3,113869.6,113383.9,113574.1,17249
2025-08-02 13:00:00,113572.9,113596.7,112670.7,113143.9,29613
2025-08-02 17:00:00,113153.1,113382.9,111971.6,112745.1,43513
2025-08-02 21:00:00,112739.1,113021.6,111894.6,112891.9,32457
2025-08-03 01:00:00,112891.1,113695.6,112781.4,113435.8,22581
2025-08-03 05:00:00,113439.9,113776.4,113361.3,113665.9,12201
2025-08-03 09:00:00,113667.8,114237.2,113590.4,113993.9,19490
2025-08-03 13:00:00,113992.4,114074.5,113563.7,113980.5,21784
2025-08-03 17:00:00,113982.5,114770.8,113934.7,114402.3,20678
2025-08-03 21:00:00,114402.2,114909.6,114050.1,114887.1,46617
2025-08-04 01:00:00,114888.1,114979.9,114329.7,114367.5,38534
2025-08-04 05:00:00,114367.4,114768.6,114144.2,114546.2,38066
2025-08-04 09:00:00,114545.5,114746.7,114197.1,114429.9,26860
2025-08-04 13:00:00,114430.1,115462.9,114103.6,115282.9,56038
2025-08-04 17:00:00,115283.0,115732.9,114590.7,114777.6,48864
2025-08-04 21:00:00,114779.4,115344.4,114777.0,114862.9,43254
2025-08-05 01:00:00,114862.4,115025.1,114144.1,114307.4,32122
2025-08-05 05:00:00,114307.8,114489.6,113700.0,114249.3,31822
2025-08-05 09:00:00,114249.4,115065.2,113509.9,113917.3,35546
2025-08-05 13:00:00,113906.4,114575.1,112614.9,113126.5,61355
2025-08-05 17:00:00,113129.0,113971.8,113042.7,113665.8,48198
2025-08-05 21:00:00,113671.0,114201.9,113279.4,113862.3,34826
2025-08-06 01:00:00,113859.6,113923.7,113337.0,113409.8,28262
2025-08-06 05:00:00,113410.9,114394.1,113368.7,113917.3,31636
2025-08-06 09:00:00,113917.2,114386.4,113768.9,113896.9,29414
2025-08-06 13:00:00,113899.9,115521.2,113551.9,115128.4,56491
2025-08-06 17:00:00,115116.6,115723.4,115004.6,115048.9,39246
2025-08-06 21:00:00,115051.8,115244.9,114786.3,114910.4,36666
2025-08-07 01:00:00,114907.4,115206.8,114260.7,114358.0,34406
2025-08-07 05:00:00,114355.5,115174.3,114267.9,114963.1,35504
2025-08-07 09:00:00,114963.2,116830.8,114834.2,116370.9,53224
2025-08-07 13:00:00,116372.7,116828.9,115638.9,116272.5,59894
2025-08-07 17:00:00,116274.5,117572.5,116121.6,117222.8,52904
2025-08-07 21:00:00,117225.0,117665.8,116883.4,117293.9,63330
2025-08-08 01:00:00,117289.1,117294.2,116675.0,116768.0,39390
2025-08-08 05:00:00,116768.5,116981.6,116379.5,116643.5,28278
2025-08-08 09:00:00,116642.8,116930.6,116326.4,116519.9,25126
2025-08-08 13:00:00,116521.9,117308.9,115864.0,116190.0,41192
2025-08-08 17:00:00,116190.2,116905.1,116142.1,116903.8,34386
2025-08-08 21:00:00,116904.2,116984.3,116554.3,116581.5,19977
2025-08-09 01:00:00,116576.7,116678.7,116311.5,116445.7,18993
2025-08-09 05:00:00,116444.4,117166.9,116392.5,117106.8,22011
2025-08-09 09:00:00,117104.6,117916.6,116972.8,117104.7,26133
2025-08-09 13:00:00,117100.4,117150.8,116609.2,116647.6,28298
2025-08-09 17:00:00,116638.6,117033.5,116471.0,116773.8,24108
2025-08-09 21:00:00,116772.1,116808.8,116376.8,116754.0,23087
2025-08-10 01:00:00,116754.4,118736.6,116502.4,118487.1,31612
2025-08-10 05:00:00,118486.7,118519.4,117432.5,118296.4,31344
2025-08-10 09:00:00,118308.2,118729.6,117894.9,118495.7,27475
2025-08-10 13:00:00,118498.5,119095.3,118253.6,118651.2,32687
2025-08-10 17:00:00,118650.8,118759.3,118048.3,118313.7,25690
2025-08-10 21:00:00,118323.9,119492.5,118045.0,119130.5,40531
2025-08-11 01:00:00,119115.6,122151.3,118982.9,122058.3,54739
2025-08-11 05:00:00,122046.6,122293.2,121180.5,121644.6,31717
2025-08-11 09:00:00,121644.4,121680.7,119475.0,119606.3,41201
2025-08-11 13:00:00,119611.4,120778.7,119323.4,119922.4,54966
2025-08-11 17:00:00,119921.8,120139.4,118554.4,118820.0,44354
2025-08-11 21:00:00,118820.5,119171.7,118084.0,118950.4,36885
2025-08-12 01:00:00,118948.7,119284.6,118742.5,119048.2,24002
2025-08-12 05:00:00,119043.4,119141.4,118417.0,118795.2,21580
2025-08-12 09:00:00,118792.7,119251.9,118187.6,119251.9,33120
2025-08-12 13:00:00,119257.4,120177.3,118548.8,119644.2,47992
2025-08-12 17:00:00,119648.9,120302.9,119162.5,120161.0,42012
2025-08-12 21:00:00,120160.9,120275.4,119609.7,119675.4,41906
2025-08-13 01:00:00,119676.4,119816.0,119060.5,119316.2,37592
2025-08-13 05:00:00,119313.8,120031.7,118922.6,120023.7,34035
2025-08-13 09:00:00,120023.3,120705.4,119768.8,120259.8,39118
2025-08-13 13:00:00,120258.7,122190.6,120099.4,121431.7,88859
2025-08-13 17:00:00,121433.5,123023.9,121411.8,122943.9,67365
2025-08-13 21:00:00,122950.2,124494.5,122353.9,123881.9,67777
2025-08-14 01:00:00,123856.8,123971.1,123033.0,123057.9,50274
2025-08-14 05:00:00,123043.8,123157.2,121342.0,121661.8,44426
2025-08-14 09:00:00,121659.9,121960.0,117675.8,118905.0,52272
2025-08-14 13:00:00,118891.5,119419.6,117412.5,117900.9,82095
2025-08-14 17:00:00,117896.0,118588.0,117201.1,117938.9,45054
2025-08-14 21:00:00,117928.2,118596.4,117380.0,118266.5,33051
2025-08-15 01:00:00,118267.9,119305.4,118115.1,118931.3,32130
2025-08-15 05:00:00,118932.2,119311.9,118729.5,118942.4,29111
2025-08-15 09:00:00,118936.8,119181.7,118573.3,118710.3,31692
2025-08-15 13:00:00,118709.8,118815.1,116840.7,117401.9,74676
2025-08-15 17:00:00,117396.1,117915.3,116871.9,117336.9,55472
2025-08-15 21:00:00,117337.3,117857.4,117055.4,117815.8,21764
2025-08-16 01:00:00,117816.4,117985.5,117445.7,117900.1,15555
2025-08-16 05:00:00,117896.2,117934.9,117374.5,117695.2,11816
2025-08-16 09:00:00,117696.5,117814.0,117207.3,117810.4,14585
2025-08-16 13:00:00,117809.9,117891.4,117607.3,117818.9,11306
2025-08-16 17:00:00,117817.0,117832.7,117562.1,117720.1,8347
2025-08-16 21:00:00,117717.9,117718.6,117264.7,117321.3,11812
2025-08-17 01:00:00,117327.6,118248.5,117237.4,118144.9,11186
2025-08-17 05:00:00,118148.7,118458.0,117913.7,118438.1,9600
2025-08-17 09:00:00,118434.2,118551.0,118184.4,118208.5,14517
2025-08-17 13:00:00,118210.5,118619.4,117734.9,117872.4,13731
2025-08-17 17:00:00,117872.6,118001.4,117374.4,117671.2,16820
2025-08-17 21:00:00,117660.5,118064.2,117083.5,117355.1,24809
2025-08-18 01:00:00,117352.6,117470.9,115047.4,115533.4,47086
2025-08-18 05:00:00,115542.1,115784.6,114945.1,115179.3,36126
2025-08-18 09:00:00,115181.5,115559.3,114688.9,115558.8,33182
2025-08-18 13:00:00,115563.7,116402.0,114869.2,116012.0,52239
2025-08-18 17:00:00,116012.1,116870.0,116012.0,116459.0,39957
2025-08-18 21:00:00,116451.2,117023.9,115567.4,116581.5,34656
2025-08-19 01:00:00,116576.7,116759.8,114414.6,115328.4,50344
2025-08-19 05:00:00,115328.3,115498.8,114649.9,115230.4,36360
2025-08-19 09:00:00,115227.9,115685.4,115216.4,115616.4,32030
2025-08-19 13:00:00,115613.9,115893.9,113295.8,113349.8,68668
2025-08-19 17:00:00,113346.2,113578.2,112720.7,113537.7,46716
2025-08-19 21:00:00,113536.9,113552.5,112697.9,113185.1,39494
2025-08-20 01:00:00,113183.9,113689.2,112554.8,113613.9,38844
2025-08-20 05:00:00,113615.4,114000.6,113385.4,113984.5,33704
2025-08-20 09:00:00,113986.9,113988.8,113031.8,113655.0,40554
2025-08-20 13:00:00,113653.6,114304.0,112358.9,113823.6,68245
2025-08-20 17:00:00,113829.9,114437.9,113236.4,114363.0,44840
2025-08-20 21:00:00,114361.8,114607.5,113977.6,114284.7,33644
2025-08-21 01:00:00,114283.5,114787.9,113766.9,113775.4,35044
2025-08-21 05:00:00,113789.5,113984.4,113549.2,113551.6,29118
2025-08-21 09:00:00,113552.2,113577.2,112904.8,113055.6,39028
2025-08-21 13:00:00,113052.0,113960.3,112300.0,112334.7,62148
2025-08-21 17:00:00,112335.8,112815.1,111956.3,112392.9,41435
2025-08-21 21:00:00,112390.0,112791.6,112050.9,112576.1,35700
2025-08-22 01:00:00,112580.4,113475.9,112278.4,112778.9,35430
2025-08-22 05:00:00,112777.9,113330.5,112766.7,112947.3,35306
2025-08-22 09:00:00,112937.0,113075.6,111638.3,112292.5,41598
2025-08-22 13:00:00,112291.5,117282.7,111891.2,116120.6,66893
2025-08-22 17:00:00,116118.8,117398.4,116118.8,117024.2,43760
2025-08-22 21:00:00,117023.4,117159.6,116509.3,116807.9,29009
2025-08-23 01:00:00,116806.9,116814.3,115389.2,115853.6,35420
2025-08-23 05:00:00,115853.4,115956.1,115543.0,115680.4,29583
2025-08-23 09:00:00,115679.4,115733.6,115117.7,115149.3,22195
2025-08-23 13:00:00,115144.2,115145.1,114502.4,114953.6,30311
2025-08-23 17:00:00,114954.9,115272.9,114888.6,115268.2,21152
2025-08-23 21:00:00,115266.3,115481.7,114918.7,115323.7,20299
2025-08-24 01:00:00,115324.5,115602.1,114864.1,115103.8,24454
2025-08-24 05:00:00,115103.3,115143.2,114655.2,114769.2,19979
2025-08-24 09:00:00,114769.1,114991.4,114511.3,114615.2,24842
