entry_time,exit_time,type,pnl,status
2025-08-01 14:15:00,2025-08-01 15:15:00,LONG,-2.0,LOSS
2025-08-01 17:00:00,2025-08-04 14:00:00,SHORT,3.0,WIN
2025-08-04 19:45:00,2025-08-04 21:15:00,SHORT,-2.0,LOSS
2025-08-04 21:30:00,2025-08-05 00:15:00,LONG,-2.0,LOSS
2025-08-05 12:30:00,2025-08-05 13:30:00,SHORT,-2.0,LOSS
2025-08-06 02:00:00,2025-08-06 05:15:00,SHORT,-2.0,LOSS
2025-08-06 13:00:00,2025-08-06 13:45:00,SHORT,-2.0,LOSS
2025-08-07 07:15:00,2025-08-07 10:30:00,LONG,5.875,WIN
2025-08-08 11:45:00,2025-08-08 12:00:00,LONG,-2.0,LOSS
2025-08-08 13:30:00,2025-08-08 14:30:00,LONG,-2.0,LOSS
2025-08-08 18:00:00,2025-08-08 18:30:00,LONG,-2.0,LOSS
2025-08-12 07:15:00,2025-08-12 08:30:00,LONG,-2.0,LOSS
2025-08-12 12:45:00,2025-08-12 13:00:00,LONG,-2.0,LOSS
2025-08-13 08:00:00,2025-08-13 14:00:00,LONG,5.875,WIN
2025-08-15 22:45:00,2025-08-15 23:00:00,LONG,-2.0,LOSS
2025-08-19 14:00:00,2025-08-21 17:30:00,SHORT,5.875,WIN
2025-08-25 03:45:00,2025-08-25 20:30:00,SHORT,5.875,WIN
2025-08-26 11:15:00,2025-08-26 12:30:00,SHORT,-2.0,LOSS
2025-08-26 15:30:00,2025-08-26 18:15:00,SHORT,-2.0,LOSS
2025-08-27 21:30:00,2025-08-28 04:15:00,SHORT,-2.0,LOSS
2025-08-28 14:15:00,2025-08-28 14:30:00,SHORT,-2.0,LOSS
2025-08-28 15:15:00,2025-08-28 16:15:00,SHORT,-2.0,LOSS
2025-08-29 01:00:00,2025-08-29 08:30:00,SHORT,5.875,WIN
2025-08-29 13:30:00,2025-09-02 03:00:00,SHORT,4.25,WIN
2025-09-02 11:15:00,2025-09-02 13:30:00,SHORT,4.25,WIN
2025-09-03 03:30:00,2025-09-03 10:00:00,SHORT,-2.0,LOSS
2025-09-04 10:45:00,2025-09-04 11:00:00,SHORT,-2.0,LOSS
2025-09-05 14:15:00,2025-09-08 08:30:00,SHORT,-2.0,LOSS
2025-09-09 11:45:00,2025-09-09 12:00:00,SHORT,-2.0,LOSS
2025-09-09 13:15:00,2025-09-09 14:00:00,LONG,-2.0,LOSS
2025-09-10 00:30:00,2025-09-10 02:45:00,SHORT,-2.0,LOSS
2025-09-10 20:15:00,2025-09-12 00:45:00,LONG,5.875,WIN
2025-09-12 14:15:00,2025-09-12 14:30:00,LONG,-2.0,LOSS
2025-09-12 14:45:00,2025-09-15 01:00:00,LONG,4.25,WIN
2025-09-15 17:45:00,2025-09-18 03:15:00,LONG,5.875,WIN
2025-09-22 15:30:00,2025-09-23 08:00:00,SHORT,1.0,WIN
2025-09-24 03:15:00,2025-09-24 04:30:00,SHORT,-2.0,LOSS
2025-09-26 10:15:00,2025-09-26 12:30:00,SHORT,-2.0,LOSS
2025-09-26 14:30:00,2025-09-26 16:15:00,SHORT,-2.0,LOSS
2025-09-26 19:45:00,2025-09-26 23:30:00,SHORT,-2.0,LOSS
2025-09-30 14:45:00,2025-09-30 15:00:00,LONG,-2.0,LOSS
2025-09-30 15:15:00,2025-09-30 18:15:00,SHORT,-2.0,LOSS
2025-10-03 09:15:00,2025-10-03 14:15:00,LONG,-2.0,LOSS
2025-10-06 06:15:00,2025-10-06 07:30:00,LONG,-2.0,LOSS
2025-10-07 10:15:00,2025-10-07 13:30:00,LONG,1.0,WIN
2025-10-08 08:15:00,2025-10-09 08:15:00,LONG,4.25,WIN
2025-10-09 10:45:00,2025-10-09 14:15:00,LONG,3.0,WIN
2025-10-13 04:00:00,2025-10-13 07:00:00,SHORT,-2.0,LOSS
2025-10-13 14:15:00,2025-10-13 16:00:00,SHORT,-2.0,LOSS
2025-10-14 15:00:00,2025-10-14 15:30:00,SHORT,-2.0,LOSS
2025-10-15 01:15:00,2025-10-15 02:15:00,SHORT,-2.0,LOSS
2025-10-15 03:00:00,2025-10-15 08:15:00,SHORT,-2.0,LOSS
2025-10-15 10:30:00,2025-10-16 15:30:00,SHORT,5.875,WIN
2025-10-17 05:45:00,2025-10-17 07:30:00,SHORT,5.875,WIN
2025-10-17 23:45:00,2025-10-18 01:00:00,SHORT,-2.0,LOSS
2025-10-20 16:30:00,2025-10-20 17:00:00,SHORT,-2.0,LOSS
2025-10-20 21:45:00,2025-10-21 04:45:00,SHORT,5.875,WIN
2025-10-21 20:15:00,2025-10-24 12:30:00,SHORT,4.25,WIN
2025-10-24 13:30:00,2025-10-25 01:30:00,SHORT,-2.0,LOSS
2025-10-27 16:30:00,2025-10-27 19:00:00,LONG,-2.0,LOSS
2025-10-28 07:15:00,2025-10-28 19:15:00,LONG,5.0,WIN
2025-10-29 14:00:00,2025-10-29 18:30:00,SHORT,5.875,WIN
2025-10-30 09:45:00,2025-10-30 19:30:00,SHORT,5.875,WIN
2025-10-31 16:45:00,2025-10-31 18:30:00,SHORT,-2.0,LOSS
2025-11-03 01:00:00,2025-11-03 06:45:00,SHORT,5.875,WIN
2025-11-03 15:15:00,2025-11-03 16:45:00,SHORT,-2.0,LOSS
2025-11-04 05:15:00,2025-11-04 17:00:00,SHORT,5.875,WIN
2025-11-05 10:45:00,2025-11-05 11:45:00,SHORT,-2.0,LOSS
2025-11-05 22:00:00,2025-11-05 23:00:00,SHORT,-2.0,LOSS
2025-11-06 00:15:00,2025-11-06 03:15:00,SHORT,-2.0,LOSS
2025-11-06 05:45:00,2025-11-07 11:00:00,SHORT,5.875,WIN
2025-11-10 14:30:00,2025-11-10 20:00:00,SHORT,1.0,WIN
2025-11-11 04:45:00,2025-11-12 15:45:00,SHORT,5.875,WIN
2025-11-14 00:45:00,2025-11-14 02:30:00,SHORT,-2.0,LOSS
2025-11-14 03:30:00,2025-11-14 20:30:00,SHORT,5.875,WIN
2025-11-18 21:45:00,2025-11-18 22:00:00,SHORT,-2.0,LOSS
2025-11-19 14:15:00,2025-11-19 14:30:00,SHORT,-2.0,LOSS
2025-11-19 15:30:00,2025-11-19 23:15:00,SHORT,3.0,WIN
2025-11-20 23:15:00,2025-11-21 07:30:00,SHORT,5.875,WIN
2025-11-21 16:00:00,2025-11-21 16:45:00,SHORT,-2.0,LOSS
2025-11-24 04:15:00,2025-11-24 05:00:00,SHORT,-2.0,LOSS
2025-11-25 00:15:00,2025-11-25 04:45:00,SHORT,-2.0,LOSS
2025-11-25 13:30:00,2025-11-25 17:00:00,SHORT,1.0,WIN
2025-11-25 19:15:00,2025-11-25 19:45:00,SHORT,-2.0,LOSS
2025-11-26 04:00:00,2025-11-26 05:00:00,SHORT,-2.0,LOSS
2025-11-26 09:00:00,2025-11-26 16:15:00,SHORT,1.0,WIN
2025-11-27 12:30:00,2025-11-27 16:30:00,SHORT,1.0,WIN
2025-11-28 07:45:00,2025-11-28 08:00:00,SHORT,-2.0,LOSS
2025-11-28 16:45:00,2025-11-30 09:15:00,SHORT,-2.0,LOSS
2025-12-01 11:00:00,2025-12-01 15:30:00,SHORT,5.875,WIN
2025-12-02 08:30:00,2025-12-02 09:00:00,SHORT,-2.0,LOSS
2025-12-03 14:00:00,2025-12-03 14:30:00,SHORT,-2.0,LOSS
2025-12-04 05:00:00,2025-12-05 14:30:00,SHORT,5.875,WIN
2025-12-09 00:30:00,2025-12-09 15:00:00,SHORT,-2.0,LOSS
2025-12-09 21:45:00,2025-12-10 20:00:00,SHORT,-2.0,LOSS
2025-12-15 12:00:00,2025-12-15 14:30:00,SHORT,-2.0,LOSS
2025-12-16 00:45:00,2025-12-16 06:15:00,SHORT,-2.0,LOSS
2025-12-17 00:30:00,2025-12-17 01:15:00,SHORT,-2.0,LOSS
2025-12-17 16:30:00,2025-12-18 13:00:00,SHORT,-2.0,LOSS
2025-12-18 17:00:00,2025-12-19 03:30:00,SHORT,-2.0,LOSS
2025-12-19 17:15:00,2025-12-19 20:30:00,SHORT,-2.0,LOSS
2025-12-22 15:30:00,2025-12-22 16:15:00,SHORT,-2.0,LOSS
2025-12-23 14:30:00,2025-12-23 16:00:00,SHORT,1.0,WIN
2025-12-24 14:45:00,2025-12-24 16:30:00,SHORT,-2.0,LOSS
2025-12-25 08:15:00,2025-12-25 13:30:00,SHORT,-2.0,LOSS
2025-12-25 20:30:00,2025-12-26 02:00:00,SHORT,3.0,WIN
2025-12-26 14:45:00,2025-12-27 22:00:00,SHORT,-2.0,LOSS
2025-12-29 09:15:00,2025-12-29 12:00:00,SHORT,5.875,WIN
2025-12-30 19:00:00,2025-12-31 01:15:00,SHORT,-2.0,LOSS
2025-12-31 04:30:00,2025-12-31 08:00:00,SHORT,-2.0,LOSS
2025-12-31 14:45:00,2026-01-01 23:15:00,SHORT,-2.0,LOSS
2026-01-02 02:30:00,2026-01-02 03:00:00,SHORT,-2.0,LOSS
2026-01-02 14:15:00,2026-01-02 14:30:00,SHORT,-2.0,LOSS
2026-01-05 07:00:00,2026-01-05 20:15:00,LONG,5.875,WIN
2026-01-06 11:00:00,2026-01-06 15:30:00,LONG,1.0,WIN
2026-01-06 21:15:00,2026-01-07 00:45:00,LONG,-2.0,LOSS
2026-01-08 15:15:00,2026-01-09 08:45:00,LONG,1.0,WIN
2026-01-09 14:00:00,2026-01-09 15:15:00,SHORT,-2.0,LOSS
2026-01-12 15:15:00,2026-01-13 20:00:00,LONG,5.875,WIN
2026-01-14 14:00:00,2026-01-14 16:45:00,LONG,5.875,WIN
2026-01-15 07:30:00,2026-01-15 14:30:00,LONG,-2.0,LOSS
2026-01-16 06:15:00,2026-01-16 10:30:00,LONG,-2.0,LOSS
2026-01-16 14:15:00,2026-01-16 14:30:00,LONG,-2.0,LOSS
2026-01-16 20:30:00,2026-01-18 23:15:00,LONG,-2.0,LOSS
2026-01-19 08:30:00,2026-01-19 14:00:00,LONG,-2.0,LOSS
2026-01-19 16:15:00,2026-01-19 22:00:00,LONG,-2.0,LOSS
2026-01-21 08:00:00,2026-01-21 09:30:00,SHORT,-2.0,LOSS
2026-01-21 16:45:00,2026-01-21 18:45:00,SHORT,-2.0,LOSS
2026-01-22 08:00:00,2026-01-22 09:15:00,SHORT,-2.0,LOSS
2026-01-22 13:30:00,2026-01-22 19:30:00,SHORT,3.0,WIN
2026-01-22 21:45:00,2026-01-23 01:30:00,SHORT,-2.0,LOSS
2026-01-23 05:45:00,2026-01-23 15:45:00,SHORT,3.0,WIN
2026-01-23 20:30:00,2026-01-24 03:15:00,SHORT,-2.0,LOSS
2026-01-26 16:00:00,2026-01-26 18:15:00,SHORT,-2.0,LOSS
2026-01-26 20:45:00,2026-01-26 21:30:00,SHORT,-2.0,LOSS
2026-01-27 14:30:00,2026-01-27 15:00:00,SHORT,-2.0,LOSS
2026-01-27 17:30:00,2026-01-27 18:45:00,SHORT,-2.0,LOSS
2026-01-28 15:15:00,2026-01-28 16:15:00,SHORT,-2.0,LOSS
2026-01-28 19:00:00,2026-01-29 15:00:00,SHORT,5.875,WIN
2026-01-30 00:15:00,2026-01-30 01:30:00,SHORT,5.875,WIN
2026-01-30 18:15:00,2026-01-30 18:45:00,SHORT,-2.0,LOSS
2026-02-03 02:45:00,2026-02-03 03:30:00,SHORT,-2.0,LOSS
2026-02-03 09:15:00,2026-02-03 10:00:00,SHORT,-2.0,LOSS
2026-02-04 08:15:00,2026-02-04 08:45:00,SHORT,-2.0,LOSS
2026-02-05 11:00:00,2026-02-05 18:15:00,SHORT,5.875,WIN
2026-02-09 06:30:00,2026-02-09 19:45:00,SHORT,4.25,WIN
2026-02-10 14:30:00,2026-02-10 15:00:00,SHORT,-2.0,LOSS
2026-02-10 19:00:00,2026-02-14 08:00:00,SHORT,5.0,WIN
2026-02-16 01:30:00,2026-02-16 09:30:00,SHORT,-2.0,LOSS
2026-02-16 13:45:00,2026-02-16 23:45:00,SHORT,-2.0,LOSS
2026-02-17 03:45:00,2026-02-18 19:15:00,SHORT,5.875,WIN
2026-02-20 11:45:00,2026-02-20 15:00:00,SHORT,1.0,WIN
2026-02-20 17:15:00,2026-02-20 17:45:00,SHORT,-2.0,LOSS
2026-02-23 00:30:00,2026-02-23 01:00:00,SHORT,5.875,WIN
2026-02-24 01:00:00,2026-02-25 01:00:00,SHORT,3.0,WIN
2026-02-25 05:45:00,2026-02-25 08:30:00,SHORT,-2.0,LOSS
2026-02-26 06:30:00,2026-02-26 09:45:00,SHORT,-2.0,LOSS
2026-02-26 11:30:00,2026-02-27 11:30:00,SHORT,5.875,WIN
2026-03-02 06:45:00,2026-03-02 09:15:00,SHORT,-2.0,LOSS
2026-03-04 00:30:00,2026-03-04 01:30:00,SHORT,-2.0,LOSS
2026-03-06 04:00:00,2026-03-06 14:30:00,SHORT,5.875,WIN
2026-03-10 13:00:00,2026-03-10 13:30:00,LONG,-2.0,LOSS
2026-03-10 15:00:00,2026-03-10 18:00:00,LONG,-2.0,LOSS
2026-03-10 18:15:00,2026-03-11 13:30:00,SHORT,-2.0,LOSS
2026-03-12 14:30:00,2026-03-12 15:15:00,SHORT,-2.0,LOSS
2026-03-12 18:30:00,2026-03-12 19:45:00,SHORT,-2.0,LOSS
2026-03-12 22:30:00,2026-03-12 23:00:00,SHORT,-2.0,LOSS
